iter	RMSE
0	26.69751412
1	24.90201943
2	23.22704968
3	21.72162378
4	20.34558075
5	19.10337315
6	17.97599966
7	16.93112323
8	15.98237837
9	15.14168303
10	14.36983871
11	13.66538006
12	13.0353364
13	12.45994784
14	11.94934615
15	11.50035926
16	11.09532949
17	10.73501141
18	10.42709873
19	10.13647612
20	9.880547148
21	9.652511108
22	9.446992001
23	9.270406851
24	9.115401966
25	8.979963931
26	8.849364761
27	8.745972254
28	8.639267799
29	8.546832701
30	8.466264789
31	8.39929292
32	8.33449822
33	8.280695513
34	8.23149645
35	8.188592398
36	8.151813524
37	8.118173179
38	8.083200439
39	8.056458064
40	8.027638104
41	8.005626673
42	7.987607396
43	7.97155625
44	7.95078812
45	7.932291138
46	7.919970308
47	7.903939538
48	7.893938307
49	7.884829483
50	7.877029409
51	7.865980996
52	7.858676641
53	7.842913332
54	7.836669674
55	7.828155093
56	7.816489269
57	7.810926726
58	7.805545982
59	7.800673401
60	7.796242657
61	7.789817599
62	7.782396056
63	7.778807942
64	7.774439095
65	7.769559751
66	7.763275787
67	7.759453565
68	7.757031628
69	7.748778233
70	7.741317067
71	7.738992203
72	7.735846476
73	7.733384035
74	7.731403004
75	7.726933937
76	7.724850986
77	7.717526146
78	7.71596991
79	7.71172721
80	7.710246789
81	7.706858782
82	7.704756075
83	7.703186739
84	7.700644441
85	7.698111597
86	7.695644398
87	7.691471
88	7.689823377
89	7.6872696
90	7.685249753
91	7.684187237
92	7.68267206
93	7.68109629
94	7.679381354
95	7.677427936
96	7.67204476
97	7.670134945
98	7.66856329
99	7.664903585
100	7.663901295
101	7.661358077
102	7.659938447
103	7.658572756
104	7.657078521
105	7.655272467
106	7.65226327
107	7.64765369
108	7.646255273
109	7.644916281
110	7.643314471
111	7.639333056
112	7.638189229
113	7.635810529
114	7.632559874
115	7.630218693
116	7.628836605
117	7.627391852
118	7.626501115
119	7.625166351
120	7.624087541
121	7.621307159
122	7.620275066
123	7.619037591
124	7.618237786
125	7.617396554
126	7.616599069
127	7.61534771
128	7.614003201
129	7.61293348
130	7.612136956
131	7.611379774
132	7.61019944
133	7.609121924
134	7.606774192
135	7.60540175
136	7.604513433
137	7.603583878
138	7.602984508
139	7.602037286
140	7.601113293
141	7.59994016
142	7.598159384
143	7.596281093
144	7.594189866
145	7.593436115
146	7.592564371
147	7.5918995
148	7.591338236
149	7.590837637
150	7.589784936
151	7.588812283
152	7.588194191
153	7.587500237
154	7.586542108
155	7.585399418
156	7.584803144
157	7.584033333
158	7.582742149
159	7.581758952
