iter	Passed	Remaining
0	108	7509
1	215	7337
2	313	6996
3	431	7124
4	539	7010
5	648	6915
6	763	6872
7	878	6807
8	981	6655
9	1095	6570
10	1203	6455
11	1298	6274
12	1390	6096
13	1489	5956
14	1589	5827
15	1703	5750
16	1805	5627
17	1903	5497
18	2010	5397
19	2114	5285
20	2216	5172
21	2314	5049
22	2420	4945
23	2507	4805
24	2603	4686
25	2712	4590
26	2803	4464
27	2896	4344
28	2983	4218
29	3088	4117
30	3185	4006
31	3286	3902
32	3386	3796
33	3479	3683
34	3582	3582
35	3666	3463
36	3767	3360
37	3865	3255
38	3963	3150
39	4052	3039
40	4158	2941
41	4243	2828
42	4336	2722
43	4427	2615
44	4504	2502
45	4599	2399
46	4697	2298
47	4784	2192
48	4881	2091
49	4970	1988
50	5066	1887
51	5158	1785
52	5264	1688
53	5348	1584
54	5448	1486
55	5547	1386
56	5638	1285
57	5728	1185
58	5825	1086
59	5913	985
60	5998	885
61	6100	787
62	6208	689
63	6303	590
64	6394	491
65	6478	392
66	6562	293
67	6647	195
68	6726	97
69	6835	0
